user,URL,has_finish,repos,stars
nrempel,https://github.com/nrempel,1,135,890
12dtan,https://github.com/12dtan,1,12,2200
lpq29743,https://github.com/lpq29743,1,13,555
ad0000,https://github.com/ad0000,1,6,112
wxjiao,https://github.com/wxjiao,1,43,38
Perevalov,https://github.com/Perevalov,1,30,160
ErwinXu,https://github.com/ErwinXu,1,4,1000
abdelrahman-t,https://github.com/abdelrahman-t,1,20,161
davidnathanlang,https://github.com/davidnathanlang,1,39,77
ZubinGou,https://github.com/ZubinGou,1,45,334
daun-cupist,https://github.com/daun-cupist,1,1,97
ericdoug-qi,https://github.com/ericdoug-qi,1,254,482
hirofumi0810,https://github.com/hirofumi0810,1,17,265
Thorkilsdatter,https://github.com/Thorkilsdatter,1,1,34
DCNemesis,https://github.com/DCNemesis,1,2,49
Yottaxx,https://github.com/Yottaxx,1,40,62
LiamJO98,https://github.com/LiamJO98,1,45,394
lisaterumi,https://github.com/lisaterumi,1,341,691
VamshiTeja,https://github.com/VamshiTeja,1,39,63
aegorfk,https://github.com/aegorfk,1,15,59
fnangle,https://github.com/fnangle,1,8,203
soheilesm,https://github.com/soheilesm,1,31,147
AndrewZhou924,https://github.com/AndrewZhou924,1,94,321
pipiman,https://github.com/pipiman,1,8,255
egeres,https://github.com/egeres,1,13,2300
dachenlian,https://github.com/dachenlian,1,28,609
ryanrhymes,https://github.com/ryanrhymes,1,71,44
raunak-agarwal,https://github.com/raunak-agarwal,1,6,909
dasdristanta13,https://github.com/dasdristanta13,1,33,80
momozzing,https://github.com/momozzing,1,35,126
xunge,https://github.com/xunge,1,45,657
swgu98,https://github.com/swgu98,1,4,80
mingboiz,https://github.com/mingboiz,1,12,247
agarwalchaitanya,https://github.com/agarwalchaitanya,1,14,314
vlfom,https://github.com/vlfom,1,34,700
shangqwe123,https://github.com/shangqwe123,1,38,180
supermassiveasshole,https://github.com/supermassiveasshole,1,4,78
YuweiYin,https://github.com/YuweiYin,1,5,125
yeongjoonJu,https://github.com/yeongjoonJu,1,21,338
SushantDaga,https://github.com/SushantDaga,1,9,1600
parshantdeep,https://github.com/parshantdeep,1,8,31
bergwald,https://github.com/bergwald,1,4,152
swarajdalmia,https://github.com/swarajdalmia,1,19,152
isgursoy,https://github.com/isgursoy,1,86,599
LvHuanhuan109,https://github.com/LvHuanhuan109,1,29,103
chris4540,https://github.com/chris4540,1,41,100
JadeXIN,https://github.com/JadeXIN,1,6,213
PrasannaKumaran,https://github.com/PrasannaKumaran,1,31,84
chang810249,https://github.com/chang810249,1,26,273
brunotm,https://github.com/brunotm,1,68,1000
Liangtaiwan,https://github.com/Liangtaiwan,1,24,512
Rosa-Phoebe,https://github.com/Rosa-Phoebe,1,4,273
gevezex,https://github.com/gevezex,1,5,90
akamnev,https://github.com/akamnev,1,19,132
hysts,https://github.com/hysts,1,26,2900
takerum,https://github.com/takerum,1,18,175
wyh2004,https://github.com/wyh2004,1,1,56
linearAI,https://github.com/linearAI,1,0,72
harviu,https://github.com/harviu,1,36,58
actuy,https://github.com/actuy,1,16,116
gtors,https://github.com/gtors,1,45,486
machelreid,https://github.com/machelreid,1,19,235
imenelydiaker,https://github.com/imenelydiaker,1,12,61
thanit456,https://github.com/thanit456,1,141,967
daviddwlee84,https://github.com/daviddwlee84,1,75,2700
WatsonWangZh,https://github.com/WatsonWangZh,1,8,1500
sparkdoc,https://github.com/sparkdoc,1,3,140
crodriguez1a,https://github.com/crodriguez1a,1,81,490
horaceg,https://github.com/horaceg,1,25,418
